-4,-5,-1,4,7,0,-3,6,6,8,3,-7,9,-2,7,-11
-13,-11,0,0,6,2,-8,4,-4,-1,6,-6,-4,0,4,5
4,-3,0,1,-2,2,-3,0,-3,0,4,-6,3,-1,6,2
-4,0,-11,0,2,0,2,6,2,-2,5,-7,-1,3,13,1
-3,-1,5,5,0,-8,-1,-1,-4,-2,5,-9,-1,7,11,15
-2,-7,2,-12,10,-4,-4,-3,-7,-2,7,4,-3,13,3,2
-19,7,-8,-3,9,-18,-9,0,-12,18,8,-11,0,3,-1,-7
-18,18,4,1,12,-13,-10,-7,-2,30,12,1,1,14,-2,6
17,-6,-9,-37,28,-28,-18,-23,-11,14,10,20,-5,29,22,-24
-19,32,10,-24,-14,-14,23,14,-21,-1,-3,-2,4,26,-13,20
34,13,2,3,8,0,7,-33,29,30,-15,30,10,2,3,4
38,-25,32,32,40,34,-31,-32,34,33,-33,34,-35,-37,-39,-24
-21,-50,14,31,11,52,-17,39,57,-10,47,1,-11,43,-2,-14
0,18,9,-21,28,0,21,2,-21,29,0,13,45,24,-23,-4
-16,-11,-6,-20,-33,12,10,15,1,10,24,-8,-15,39,-26,3
0,-2,-4,-15,-49,22,38,16,-9,-22,12,-4,-7,13,-26,4
-2,15,-1,-10,0,1,13,0,-12,4,4,2,1,12,-9,-2
-8,0,-2,-6,0,0,-4,5,-17,0,6,-2,-2,9,-10,-2
-8,-10,-7,-3,-9,3,12,13,3,-3,23,-1,-11,11,-9,7
-12,-7,1,6,10,-2,-7,10,-2,1,2,-4,0,-2,6,0
-13,0,9,-4,4,0,-10,0,-4,0,9,-8,5,12,-3,0
5,-8,0,0,0,3,-2,0,-2,-2,0,0,-9,1,0,-1
-3,-3,2,0,2,3,-4,0,-4,3,13,-1,0,8,6,-4
-5,-14,0,4,-5,0,-2,0,3,4,12,-2,-9,2,1,-1
-3,-6,-3,2,-4,-7,-7,0,-2,-4,-5,-5,-3,-1,-2,-4
0,-10,0,7,0,1,-10,10,5,-2,-1,-4,6,-16,1,-5
-4,-10,0,9,-2,7,-4,3,0,-1,7,-4,5,-3,0,-7
-9,-9,-2,2,2,1,-20,5,-4,4,8,-8,0,-10,0,-10
-1,-8,-1,5,-5,-1,0,0,6,-2,4,5,-3,-4,3,4
-8,-10,-12,-2,-1,3,-3,5,-2,1,7,-9,5,3,8,-7
5,-8,1,-9,-4,0,-6,2,0,-9,4,-4,-8,3,9,-6
-5,-9,0,2,12,1,-11,-1,3,-1,6,4,1,8,1,-5
-5,4,-1,-1,8,-7,-4,0,-9,1,0,-3,8,-4,2,-2
0,-19,-1,0,-3,2,-4,0,7,-4,8,3,-7,-3,-1,-6
-12,-3,20,0,23,-1,-21,-4,-6,5,18,7,-5,16,8,5
-40,8,-3,-16,31,-58,-37,-21,-18,30,12,-12,0,14,14,-4
-1,23,-23,-57,15,-61,-3,-8,-23,10,-14,0,10,40,14,-4
2,-1,-17,-33,2,-40,0,-11,-2,0,-23,8,-14,25,3,3
-3,-40,-43,-46,-11,-55,-39,-11,-20,-17,-14,-16,-37,-12,-6,-22
-19,-18,-5,18,-5,17,4,15,20,14,19,-21,-7,13,16,7
-41,-30,-17,49,28,32,-19,40,14,26,30,-39,19,34,5,-27
14,9,-11,-31,40,13,19,-5,-2,36,4,8,37,7,-16,-24
-9,-21,1,13,4,15,-17,19,10,-10,17,-8,-8,-5,-10,-11
0,-27,-14,4,-19,23,1,13,22,1,13,8,-16,-7,-19,-15
-10,-5,15,-7,-2,16,-1,12,-12,-18,10,-2,0,2,-11,-6
-11,-5,-15,-10,0,-7,-8,10,-6,0,5,-16,0,0,8,-8
7,-1,-7,-5,-7,0,3,-2,0,-2,-3,-1,-4,2,8,1
2,-5,-8,-10,-6,-1,-4,2,-1,-3,2,-6,-6,3,10,1
3,-5,2,-6,-4,-1,-7,10,-2,-4,5,0,0,3,-1,-1
0,-2,2,7,9,2,-15,4,-7,-13,1,-1,0,-3,3,0
-7,-1,5,1,6,-9,-4,-2,-6,3,0,-1,0,7,16,9
-8,-2,4,6,9,2,-9,8,3,0,7,-8,1,10,9,5
-4,-2,3,4,4,-5,-4,4,1,0,-3,-2,-2,-3,2,0
-6,-10,-4,11,3,11,-4,13,10,-4,2,-9,0,-6,-2,-7
10,-8,-8,10,-3,21,8,14,8,-14,-2,-4,2,-15,5,-2
-3,-5,-3,2,-2,15,0,9,3,-8,5,-1,0,2,0,-5
-10,-8,-6,0,0,6,-7,14,-1,-7,13,-11,0,4,-1,-9
0,-2,-2,2,1,8,-2,6,-6,0,9,-2,7,1,7,-4
-5,-3,0,1,-1,6,-12,10,-4,2,9,-1,2,-1,-8,-6
-2,-1,-8,-4,-1,0,-4,3,-5,0,5,-4,3,-5,-12,-14
0,3,-5,-7,7,1,-3,-5,1,7,7,4,-11,15,2,-4
3,-4,-9,-16,4,-3,6,2,2,-2,6,-5,-8,4,10,-13
-6,-2,16,-6,13,-3,-9,-2,-9,2,15,1,2,15,0,3
